City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
83,Bethel,US,41.37,-73.41,35.6,93,90,11.41,moderate rain
84,Yenangyaung,MM,20.47,94.88,76.68,88,78,0.94,light rain
85,Ribeira Grande,PT,38.52,-28.7,69.8,88,75,24.16,broken clouds
86,Verkhnevilyuysk,RU,63.45,120.32,-6.3,91,81,2.44,broken clouds
87,Pouembout,NC,-21.13,164.9,73.62,82,43,4.72,scattered clouds
88,Kupang,ID,-10.17,123.58,80.78,76,69,6.42,broken clouds
89,Cayenne,GF,4.93,-52.33,89.6,59,75,14.99,broken clouds
90,Rumoi,JP,43.93,141.64,43.02,84,37,6.8,scattered clouds
91,Port Elizabeth,ZA,-33.92,25.57,64.4,52,0,8.05,clear sky
92,Piacabucu,BR,-10.41,-36.43,83.08,68,100,13.6,overcast clouds
93,Acapulco,MX,16.86,-99.89,82.4,74,5,1.97,clear sky
94,Simbahan,PH,6.3,120.58,83.28,79,100,13.27,light rain
95,Whyalla,AU,-33.03,137.58,59.0,82,40,13.87,scattered clouds
96,Ajdabiya,LY,30.76,20.23,70.97,61,63,12.71,broken clouds
97,Tamiahua,MX,21.27,-97.45,71.13,57,75,14.76,broken clouds
98,Kaitangata,NZ,-46.28,169.85,63.0,57,100,2.95,light rain
99,Christchurch,NZ,-43.53,172.63,66.0,63,97,8.05,overcast clouds
100,Klaksvik,FO,62.23,-6.59,46.4,75,50,16.11,scattered clouds
101,Touros,BR,-5.2,-35.46,87.8,55,40,14.99,scattered clouds
102,Albany,US,42.6,-73.97,34.0,88,100,7.27,overcast clouds
103,Eresos,GR,39.17,25.93,68.0,72,40,5.82,scattered clouds
104,Altay,CN,47.87,88.12,25.02,88,95,3.49,overcast clouds
105,Viransehir,TR,37.24,39.76,70.18,23,96,2.44,overcast clouds
106,Bentiu,SS,9.23,29.83,81.39,63,97,4.0,overcast clouds
107,Sorland,NO,67.67,12.69,41.0,60,0,23.04,clear sky
108,Codrington,AU,-38.27,141.97,50.86,88,0,10.16,clear sky
109,Nishihara,JP,26.18,127.76,71.6,59,20,5.82,few clouds
110,Ostrovnoy,RU,68.05,39.51,34.43,89,63,19.98,broken clouds
111,Khorixas,NA,-20.37,14.97,85.8,26,88,12.64,light rain
112,Meridian,US,43.61,-116.39,41.0,56,1,3.36,haze
113,Vaini,TO,-21.2,-175.2,71.6,78,20,11.41,few clouds
114,Pennsville,US,39.65,-75.52,45.0,81,90,13.87,overcast clouds
115,Hasaki,JP,35.73,140.83,46.4,75,0,4.7,clear sky
116,Laguna,US,38.42,-121.42,53.01,81,1,3.91,clear sky
117,Dikson,RU,73.51,80.55,11.84,95,100,28.66,overcast clouds
118,Sovetskiy,RU,61.36,63.58,34.2,95,100,6.44,overcast clouds
119,Bredasdorp,ZA,-34.53,20.04,64.4,42,0,10.29,clear sky
120,Naryan-Mar,RU,67.67,53.09,39.83,90,100,20.49,light rain
121,Bambous Virieux,MU,-20.34,57.76,69.8,52,40,16.11,shower rain
122,Guaruja,BR,-23.99,-46.26,69.01,94,90,4.7,mist
123,Bardiyah,LY,31.76,25.09,69.44,69,2,15.14,clear sky
124,Guerrero Negro,MX,27.98,-114.06,71.24,47,31,2.39,scattered clouds
125,Saint-Marc,HT,19.11,-72.69,85.19,64,4,3.18,clear sky
126,Muros,ES,42.78,-9.06,64.99,74,97,11.43,overcast clouds
127,Aksarka,RU,66.56,67.8,34.81,95,100,10.98,overcast clouds
128,Foldes,HU,47.3,21.37,51.8,71,0,4.7,clear sky
129,Poum,NC,-20.23,164.02,77.43,80,48,15.9,light rain
130,Port Said,EG,31.26,32.28,76.42,71,0,15.64,clear sky
131,Igarka,RU,67.47,86.58,5.2,93,100,12.35,overcast clouds
132,Grindavik,IS,63.84,-22.43,42.8,81,75,14.99,shower rain
133,Asau,RO,46.43,26.4,45.0,97,100,1.7,light rain
134,Dinguiraye,GN,11.3,-10.72,89.89,25,39,5.57,scattered clouds
135,Del Rio,US,29.36,-100.9,53.6,71,1,7.58,clear sky
136,Hendersonville,US,36.3,-86.62,48.0,70,90,10.29,overcast clouds
137,Newport,GB,51.59,-3.0,57.0,97,100,1.01,light rain
138,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,35.6,100,75,4.47,broken clouds
139,Lorengau,PG,-2.02,147.27,80.73,75,100,2.71,overcast clouds
140,Clyde River,CA,70.47,-68.59,18.46,93,98,6.08,overcast clouds
141,Besikduzu,TR,41.05,39.23,66.2,93,0,4.7,clear sky
142,Pangnirtung,CA,66.15,-65.71,8.71,83,32,0.34,scattered clouds
143,Kovdor,RU,67.57,30.48,25.29,98,91,4.41,overcast clouds
144,Kodiak,US,57.79,-152.41,35.6,74,90,5.82,overcast clouds
145,Cherskiy,RU,68.75,161.3,4.59,92,100,4.79,overcast clouds
146,Flinders,AU,-34.58,150.86,63.0,91,100,3.0,light rain
147,Puerto Ayora,EC,-0.74,-90.35,77.0,73,40,11.41,scattered clouds
148,Ulladulla,AU,-35.35,150.47,60.01,100,90,6.93,light rain
149,Bakchar,RU,57.02,82.07,35.49,98,99,7.47,overcast clouds
150,Thompson,CA,55.74,-97.86,15.04,90,25,3.27,scattered clouds
151,Zunyi,CN,27.69,106.91,59.0,88,85,3.96,overcast clouds
152,Sunland Park,US,31.8,-106.58,57.99,53,1,8.12,clear sky
153,Harper,LR,4.38,-7.72,82.35,75,28,7.49,light rain
154,Okha,RU,53.57,142.95,33.62,90,86,3.06,overcast clouds
155,Vestmannaeyjar,IS,63.44,-20.27,42.8,87,75,26.4,broken clouds
156,Mana,GF,5.66,-53.78,87.94,63,73,14.18,broken clouds
157,Chumikan,RU,54.72,135.31,34.57,88,100,14.79,overcast clouds
158,Ancud,CL,-41.87,-73.82,61.0,71,0,11.41,clear sky
159,Hailey,US,43.52,-114.32,32.0,43,5,9.17,clear sky
160,Kijang,KR,35.24,129.21,55.4,66,0,9.17,clear sky
161,Najran,SA,17.49,44.13,77.0,22,0,11.41,clear sky
162,Bilibino,RU,68.05,166.44,4.26,86,100,1.72,overcast clouds
163,Te Anau,NZ,-45.42,167.72,54.03,91,100,1.97,moderate rain
164,Torbay,CA,47.67,-52.73,37.99,51,47,1.99,scattered clouds
165,Qaqortoq,GL,60.72,-46.03,30.2,63,75,2.24,broken clouds
166,Palmas,BR,-10.21,-48.36,87.8,66,75,8.05,broken clouds
167,Nargana,PA,9.44,-78.59,84.56,72,25,11.68,light rain
168,Ulverstone,AU,-41.15,146.17,53.01,82,74,1.01,broken clouds
169,San Patricio,US,28.02,-97.52,62.01,62,20,10.29,few clouds
170,Sioux Lookout,CA,50.1,-91.92,27.37,92,0,7.16,clear sky
171,Dubbo,AU,-32.25,148.62,55.4,87,40,4.7,scattered clouds
172,Gat,IL,31.61,34.76,78.01,100,1,11.59,clear sky
173,Merauke,ID,-8.47,140.33,78.98,80,13,10.49,few clouds
174,Cidreira,BR,-30.18,-50.21,65.55,59,69,10.07,broken clouds
175,Okitipupa,NG,6.5,4.78,81.36,84,100,6.73,light rain
176,Binzhou,CN,37.37,118.02,58.95,48,74,6.53,broken clouds
177,Beringovskiy,RU,63.05,179.32,25.88,82,0,7.65,clear sky
178,Vila Velha,BR,-20.33,-40.29,82.4,74,75,14.99,broken clouds
179,Goderich,CA,43.75,-81.72,37.99,84,66,10.07,broken clouds
180,Harrismith,ZA,-28.27,29.13,62.87,73,39,14.88,scattered clouds
181,Mount Gambier,AU,-37.83,140.77,48.2,100,40,9.17,scattered clouds
182,Nikolskoye,RU,59.7,30.79,48.0,87,40,6.71,fog
183,Bolshaya Glushitsa,RU,50.24,43.59,49.39,71,99,11.1,overcast clouds
184,Oranjemund,NA,-28.55,16.43,59.99,64,100,28.92,overcast clouds
185,Pangai,TO,-19.8,-174.35,73.83,74,26,24.02,scattered clouds
186,Sabang,ID,5.89,95.32,82.62,77,100,15.55,overcast clouds
