City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
402,Palu,ID,75.78,broken clouds,-0.89,119.87,Hotel Santika Palu
405,Awbari,LY,73.92,clear sky,26.59,12.78,فندق أوباري
408,Nyaunglebin,MM,74.21,scattered clouds,17.95,96.73,Royal Motel
413,Puerto Del Rosario,ES,75.2,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
414,Atambua,ID,76.26,broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
418,Tukrah,LY,70.05,few clouds,32.53,20.58,استراحة لاقروتا
421,Bondo,CD,72.64,light rain,3.81,23.69,
428,Presidencia Roque Saenz Pena,AR,77.0,scattered clouds,-26.79,-60.44,Hotel Aconcagua
429,Vero Beach,US,78.8,overcast clouds,27.64,-80.4,Kimpton Vero Beach Hotel & Spa
433,Kieta,PG,76.51,light rain,-6.22,155.63,
434,Da Nang,VN,77.0,scattered clouds,16.07,108.22,Grand Mercure Danang
435,Albox,ES,71.01,clear sky,37.39,-2.15,Steve Conroy Los Olivos
443,Lata,PT,75.0,clear sky,40.16,-8.33,Casa Maquia
444,Chabahar,IR,73.4,haze,25.29,60.64,هتل گدروشیا
445,Carnarvon,AU,73.4,overcast clouds,-24.87,113.63,Hospitality Carnarvon
454,Samandag,TR,77.0,clear sky,36.08,35.98,Anadolu Palace Hotel
458,Samarai,PG,79.88,overcast clouds,-10.62,150.67,Nuli Sapi
463,Vanimo,PG,77.27,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
464,Mitsamiouli,KM,79.63,few clouds,-11.38,43.28,Foyer ADM
466,Dicabisagan,PH,78.42,light rain,17.08,122.42,Nancy Montanes Bernardo
467,Allapalli,IN,70.97,few clouds,19.42,80.07,Hotel IK Residency
470,Tsiroanomandidy,MG,75.36,scattered clouds,-18.77,46.03,
477,Sechura,PE,70.47,overcast clouds,-5.56,-80.82,Hospedaje Costa Bella
478,Amudat,UG,77.34,broken clouds,1.95,34.95,Silent Night Hotel
480,San Quintin,MX,70.43,broken clouds,30.48,-115.95,Old Mill Hotel
483,Kokopo,PG,77.47,broken clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
487,Yarada,IN,77.0,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
506,Lodja,CD,74.3,light rain,-3.48,23.43,
507,Haputale,LK,75.2,overcast clouds,6.77,80.96,Leisure Mount View Holiday Inn
509,Gamba,GA,78.91,broken clouds,-2.65,10.0,
511,Innisfail,AU,72.19,clear sky,-17.53,146.03,Moondarra Motel
512,Kabinda,CD,74.19,broken clouds,-6.13,24.48,Village Mianda Mutole
531,Emerald,AU,73.4,light rain,-23.53,148.17,The Irish Village
536,Siva,EG,75.94,few clouds,29.2,25.52,Qasr Alzaytuna Inn
538,Sur,OM,75.56,clear sky,22.57,59.53,Sur Plaza Hotel
539,Kannur,IN,78.8,mist,11.87,75.36,Asokam Beach Resort and Ayurveda Chikitsa Kendram
546,Meulaboh,ID,78.53,overcast clouds,4.14,96.13,Kost Pria
551,Kindu,CD,73.92,light rain,-2.95,25.95,Hotel Karibu
553,Tezu,IN,75.11,clear sky,27.92,96.17,Circuit House
